title,price,original_title,publisher,release_month,release_year,pages_num,pg,cover_type,publication_type,authors,overview,url
Wolverine (2022) Vol. 8,"R$31,90","Wolverine 26, X-Force 32-33, Sabretooth & the Exiles (2023) 1",Marvel Comics,Julho,2023,112,14 anos,,Revistas Periódicas,"Benjamin Percy, Juan José Ryp, Leonard Kirk, Robert Gill, Victor Lavalle","A Marca do Fera! Seja na defesa ou no ataque, Wolverine é a grande arma de Krakoa. Mas isso não significa que seu ataque é exatamente alinhado à mira do Fera... e a última tarefa delegada por McCoy vai lançar Logan em uma jornada intensa e reveladora que pode vir a redefinir todo o seu futuro. Paralelamente, Kraven leva sua caçada ao paraíso mutante de Krakoa, para provar de uma vez por todas que é o predador alfa supremo e que nem mesmo os mutantes, os supostos Homo superior, são páreos para sua determinação. Serão os mutantes da X-Force suficientes para detê-lo? Por fim, Dentes-de-Sabre vai tomar seu destino nas próprias mãos! Ele agora está livre, e ávido para mostrar ao mundo que ninguém consegue subjugar Victor Creed.",https://panini.com.br/wolverine-2022-vol-8
Batman Vs. Robin 04,"R$19,90",Batman Vs Robin (2022) 4,DC Comics,Julho,2023,48,12 anos,,Livros e Edições Especiais,"Mahmud Asrar, Mark Waid, Scott Godlewski","ANIQUILAÇÃO TOTAL! Quando a batalha final irrompe entre Batman e Robin no coração da Ilha de Lázaro, um estranho tremor sacode os heróis combatentes, fazendo entender: isto não é uma ilha, é um vulcão! Com o Demônio Nezha puxando as cordas e um poder transformador inacreditável prestes a explodir no mundo, nossos heróis não têm escolha a não ser fazer o impensável... retroceder! Uma batalha entre pai e filho se torna global quando a Terra entra no Planeta Lázaro!",https://panini.com.br/batman-vs-robin-04
Batman: Um Dia Ruim Vol. 4 - Senhor Frio,"R$24,90",Batman: One Bad Day – Mr.Freeze (2022) 1,DC Comics,Julho,2023,64,12 anos,,Livros e Edições Especiais,"Gerry Duggan, Matteo Scalera","Nesta edição, retorne aos primeiros dias do Cavaleiro das Trevas em Gotham City. Batman e Robin, Dick Grayson, enfrentam o inverno mais frio que a cidade já viu. A temperatura caiu tanto que o Senhor Frio, vulgo Victor Fries, não precisa mais de seu traje de contenção para sobreviver. Em uma intriga onde Robin se simpatiza com Victor e o vilão só deseja salvar sua esposa, Batman irá se deparar com o verdadeiro poder de um de seus inimigos mais icônicos… e que decretou seu próprio destino há muito tempo!",https://panini.com.br/batman-um-dia-ruim-vol-4-senhor-frio
DC Vs. Vampiros 02,"R$99,90","DC Vs Vampires: Hunters (2022) 1, DC Vs Vampires: Killers (2022) 1, DC Vs Vampires (2021) 7-12",DC Comics,Julho,2023,208,16 anos,Capa dura,Livros e Edições Especiais,"James Tynion IV, Matthew Rosenberg, Mike Bowden, Neil Googe, Otto Schmidt","Esta série de sucesso chega ao seu final surpreendente e cataclísmico! O Arqueiro Verde liderará o ataque final da humanidade nas minas de sangue de Smallville. A missão da Supergirl de sair do mundo chega a um fim explosivo. Não perca a imperdível batalha final: Batgirl contra Asa Noturna pelo destino de todo o planeta… onde as apostas não poderiam ser maiores, pois o futuro da humanidade está em jogo!",https://panini.com.br/dc-vs-vampiros-02
Esquadrão Suicida Vol. 3,"R$129,90","Suicide Squad 17-25, Suicide Squad Annual 1",DC Comics,Julho,2023,280,12 anos,Capa dura,Livros e Edições Especiais,"Graham Nolan, John Ostrander, Luke McDonnell",O Esquadrão segue em frente…,https://panini.com.br/esquadrao-suicida-vol-3-ahome003
Flash 03,"R$19,90",Flash (2016) 792-793,DC Comics,Julho,2023,48,12 anos,,Revistas Periódicas,"Jeremy Adams, Roger Cruz","A terceira parte da Guerra de um Minuto! A família Flash está em apuros quando os Rachadores começam sua aquisição. Procurando uma maneira de devolvê-los de onde vieram, o Impulso tem uma ideia… do tipo que geralmente coloca as pessoas em apuros. Cabe a Kid Flash acompanhá-lo em uma missão ousada que pode ajudar a virar a maré contra a ameaça extraterrestre! Enquanto isso, Wally West prepara seu grandioso ataque!",https://panini.com.br/catalog/product/view/id/183787/s/flash-03/category/20/
Mulher-Maravilha Vol. 13 / 63,"R$39,90","Wonder Woman (2016) 791-792, Nubia Queen of the Amazons 1-2, New Champions of Shazam! (2022) 1-2",DC Comics,Julho,2023,144,12 anos,,Revistas Periódicas,"Josie Campbell, Michael W. Conrad, Stephanie Williams","Agora mensal! Depois de quase perder seus amigos em uma batalha terrível contra a Corporação Vilania, a Mulher-Maravilha passa a agir sozinha! Diana deve reencontrar seu caminho em um mundo que parece ter se afastado dela e de sua busca por paz. Entretanto, surge a Mulher-Leopardo para complicar ainda mais a situação! Em Themyscira, Núbia tornou-se a rainha… mas ela deixará a Ilha Paraíso para servir a seu povo de uma forma que Hipólita nunca fez, embarcando em uma jornada pelo Mundo do Patriarcado e enfrentando o perigo e a desconfiança. E mais: com a ausência de Billy Batson, é preciso haver um novo Campeão de Shazam! Ou seria… Campeã? Mary entra em cena protagonizando sua própria aventura como heroína… e como estudante universitária!",https://panini.com.br/mulher-maravilha-vol-13-63
Superman: A Era Espacial,"R$119,90",Superman: Space Age (2022) 1-3,DC Comics,Julho,2023,264,16 anos,Capa dura,Livros e Edições Especiais,"Mark Russell, Michael Allred","Depois de anos parado, nos anos 1960, o jovem Clark Kent desafia os desejos de seus pais de vir ao mundo como o primeiro super-herói da Era Espacial. Mas o jovem repórter descobre que o mundo logo chegará ao fim e que não há nada que ele possa fazer para salvá-lo. À medida que cada década passa e cada novo perigo surge, ele se pergunta se esta é a que vai matar ele e todos que ele ama. Superman percebe que mesmo as boas intenções não estão isentas de reação, pois o mundo ao seu redor se transforma em um lugar tão determinado a se destruir quanto a salvá-lo.",https://panini.com.br/superman-a-era-espacial
Superman 18/76,"R$31,90","Superman: Son of Kal-El (2021) 18, Superman: Kal-El Returns Special 1, Justice League Vs the Legion of Super-Heroes 6, Action Comics 1037-1038",DC Comics,Julho,2023,112,12 anos,,Revistas Periódicas,"Brian Michael Bendis, Cian Tormey, Clayton Henry, Mark Waid, Scott Godlewski, Tom Taylor","Prepare-se para a batalha definitiva entre Superman e Lex Luthor enquanto Clark e Jon dão prosseguimento ao seu treinamento intensivo. Entretanto, é possível que tamanho esforço não seja suficiente para impedir o novo vilão que surgiu em Metrópolis. Além disso, em uma história especial, Kal-El retornou à Terra e chegou o momento de se reencontrar com o Cavaleiro das Trevas, com Jimmy Olsen, com a Liga da Justiça… e com seus vilões?! E a Saga do Lanterna Dourado chega ao fim com a conclusão de Liga da Justiça vs. Legião dos Super-Heróis, revelando qual grande vilão do Universo DC está por trás dos acontecimentos até então… e que pretende destruir todas as eras de heróis ao mesmo tempo! E mais: um conto protagonizado pelo Caçador de Marte se inicia nesta edição.",https://panini.com.br/superman-18-76
A Canção Da Fênix: Eco,"R$34,90","Marvel’s Voices: Heritage (2021) 1, Phoenix Song: Echo (2021) 1-5",Marvel Comics,Julho,2023,128,12 anos,,Livros e Edições Especiais,"Kyle Charles, Luca Maresca, Rebecca Roanhorse","Maya Lopez, uma lutadora de rua, surda... e escolhida como avatar por uma das mais poderosas e antigas entidades do Universo Marvel. A pergunta que passa pelas cabeças de todos é: POR QUÊ?! Mas Lopez está longe de saber a resposta. Se adaptando aos seus novos poderes cósmicos e à personalidade intensa da Fênix, Eco decide retornar às suas origens para tentar encontrar algum tipo de sentido. Mas talvez ela venha a encontrar apenas uma terrível ameaça, entremeada em seu passado e em seu futuro. Forças ancestrais, novos e imprevisíveis aliados, conflitos entre mutantes - a batalha final vai enfim determinar se Eco conseguirá se reerguer das cinzas como a verdadeira Fênix.",https://panini.com.br/a-cancao-da-fenix-eco
