title,price,original_title,publisher,release_month,release_year,pages_num,pg,cover_type,publication_type,authors,overview,url
Novos Mutantes: A Saga Do Urso-Demônio (Marvel Essenciais),"R$64,90",New Mutants 18-21,Marvel Comics,Maio,2023,128,12 anos,Capa dura,Livros e Edições Especiais,"Bill Sienkiewicz, Chris Claremont","A jovem Danielle Moonstar sempre confrontou seus inimigos com os maiores medos deles mesmos. Porém, quando o enorme e aterrorizante Urso-Demônio busca destruir a sua vida assim como já fez com os seus pais, Dani e os Novos Mutantes aprendem em primeira mão o que significa o verdadeiro medo. O clássico arco que fez do artista Bill Sienkiewicz um superastro, junto do roteirista Chris Claremont, e tornou os Novos Mutantes uma das equipes mais queridas e elogiadas pelos fãs!",https://panini.com.br/novos-mutantes-a-saga-do-urso-demonio-marvel-essenciais
A Saga Do Flash 01,"R$39,90","Flash (1987) 62-66, Flash Annual (1995) 8, Speed Force (1997) 1",DC Comics,Abril,2023,144,12 anos,,Revistas Periódicas,"Greg LaRocque, Humberto Ramos, Jim Aparo, Mark Waid, Tom Peyer","Em seus mais de 80 anos de história, o Flash foi redefinido para cada geração, e estrelou inúmeras histórias clássicas. Porém, poucas são tão marcantes quanto a fase do roteirista Mark Waid! No começo da década de 1990, Wally West tinha assumido o manto de seu tio Barry Allen, e foi completamente redefinido para toda uma nova geração de leitores pelo gênio de Waid! Acompanhe o Homem Mais Rápido do Mundo em uma coleção da fase icônica que tornou Wally o Flash favorito de grande parte dos fãs. Neste primeiro volume: Flash Ano Um! Acompanhe a imperdível origem do Velocista Escarlate!",https://panini.com.br/a-saga-do-flash-01
Superchoque 03,"R$19,90",Static: Season 1 (2022) 4-5,DC Comics,Abril,2023,48,12 anos,,Livros e Edições Especiais,"ChrisCross, Vita Ayala",Continuando as novas aventuras do super-herói adolescente de sucesso!,https://panini.com.br/superchoque-03
Sandman Apresenta Vol. 4: Thessaly - Bruxa De Aluguel,"R$39,90","The Sandman Presents: Thessaly Witch for Hire (2004) 1-4, The Sandman Presents: Everything You’ve Always Wanted to Know About Dreams, But Were Afraid to Ask (2001) 1",DC Comics,Abril,2023,144,18 anos,,Livros e Edições Especiais,"Bill Willingham, Duncan Fegredo, Kevin Nowlan, Shawn McManus","A bruxa mais velha e poderosa do mundo retorna nesta coleção escrita por Bill Willingham (FÁBULAS). Este conto narra as aventuras de Thessaly enquanto ela se torna a parceira involuntária em uma organização de matar monstros com seu antigo inimigo fantasmagórico, Fetch.",https://panini.com.br/sandman-apresenta-vol-4-thessaly-bruxa-de-aluguel
Batman: A Criança Dos Sonhos,"R$54,90",Batman: Child of Dreams,DC Comics,Maio,2023,352,12 anos,,Tankobon,Kia Asamiya,"Com o auxílio de uma repórter de televisão japonesa Yuko Yagi, Batman viaja de Gotham City até Tóquio para investigar uma nova droga que está sendo vendida nas ruas - que altera fisicamente o usuário - transformando-o em uma encarnação física de um dos inimigos do Batman…",https://panini.com.br/batman-a-crianca-dos-sonhos
Quarteto Fantástico: No Fluxo Do Tempo (Marvel Epic Collection),"R$159,90","Fantastic Four (1961) 334-346, Fantastic Four (1961) Annual 23, X-Factor Annual 5, New Mutants Annual 23, X-Men (1970) Annual",Marvel Comics,Abril,2023,504,12 anos,,Livros e Edições Especiais,"Jon Bogdanove, Louise Simonson, Rich Buckler, Walt Simonson","Quando uma audiência no Congresso do Quarteto Fantástico é interrompida por dezenas de vilões com sede de vingança, o grupo de heróis precisa lidar com o caos no Capitólio! E quando uma anomalia temporal os envia direto para o futuro, será que o universo cairá diante de Galactus enquanto eles precisam lidar com Kang e Nebula? Para além disso, não bastassem Sharon Ventura e o Tocha Humana estarem enfrentando crises pessoais, o Quarteto ainda vai parar numa Terra paralela com ditadores ciborgues e dinossauros deslocados! E a loucura temporal só fica pior quando um Franklin Richards adulto foge para o presente direto da linha do tempo dos “Dias do Futuro Passado”, com inimigos à sua espreita! Com convidados especiais que vão dos Vingadores aos X-Men ao Homem-Aranha!",https://panini.com.br/quarteto-fantastico-no-fluxo-do-tempo-marvel-epic-collection
X-Men Vol. 56,"R$31,90","X-Men (2021) 10-11, Immortal X-Men (2022) 2, X-Men Red (2022) 2, Marvel’s Voices Heritage (2022)",Marvel Comics,Março,2023,112,12 anos,,Revistas Periódicas,"Al Ewing, Gerry Duggan, Javier Pina, Kieron Gillen, Lucas Werneck, Stefano Caselli","São tempos difíceis para os mutantes – tanto para aqueles na Terra quanto para os que estão fora dela. O estabelecimento de uma base da Orchis, organização anti-mutante, numa lua de Arakko vem gerando tensão e preocupação. Para além disso, parecem surgir cada vez mais discordâncias sobre como conduzir o planeta que uma vez foi conhecido como Marte – Tempestade tem seus planos,  mas será que consegue concretizá-los? Em Krakoa muita coisa está no ar: a saída do Conselho Silencioso por um Magneto impactado pelos últimos acontecimentos deixou uma cadeira livre, e os mutantes precisam decidir quem irá ocupa-la – e alguns parecem já ter suas ideias quanto a isso. Por fim, a jornada Vampira e Gambit vai leva-los até um imenso cassino intergaláctico onde as apostas são altas... e referentes à destruição do planeta Terra!",https://panini.com.br/x-men-vol-56
Quarteto Fantástico (2019) Vol. 11,"R$74,90","Fantastic Four: Reckoning War Alpha (2022) 1, Fantastic Four (2018) 40-46, Reckoning War: Trial of The Watcher (2022) 1",Marvel Comics,Março,2023,240,12 anos,,Livros e Edições Especiais,"Carlos Pacheco, Dan Slott, Javier Rodriguez, Rachael Stott","Antes dos Impérios Kree, Skrull e Shi’ar. Antes de Galactus. Antes de Asgard. Antes de tudo: a Primeira Guerra, a mais grandiosa e devastadora a ser travada através de todo o Multiverso, está de volta. Diante da possível destruição iminente de tudo aquilo que se conhece, tudo que há entre a realidade e uma vingança terrível vinda da aurora do tempo é o Quarteto Fantástico. Serão eles suficientes? Mesmo com a ajuda de seus aliados? A Terra envolvida num caos, o rompimento de antigos juramentos, alianças improváveis, uma batalha até a morte entre dois homens que são mais que aliados – são amigos, irmãos. Independentemente de quem sairá vitorioso, as consequências dessa guerra prometem mudar tudo, para sempre.",https://panini.com.br/quarteto-fantastico-2019-vol-11
Flash Por Geoff Johns Vol. 3,"R$359,90","Final Crisis: Rogues’ Revenge 1-3, The Flash: Rebirth 1-6, Blackest Night: The Flash 1-3, The Flash (2010) 1-12, The Flash Secret Files and Origins 2010 1 Flashpoint 1-5",DC Comics,Abril,2023,880,14 anos,Capa dura com sobrecapa,Omnibus & Edições de luxo,"Andy Kubert, Francis Manapul, Geoff Johns, Scott Kolins","Quase 20 anos atrás, o roteirista Geoff Johns ",https://panini.com.br/flash-por-geoff-johns-vol-3
O Espetacular Homem-Aranha Vol. 4 / 48,"R$29,90",Amazing Spider-Man (2022) 6,Marvel Comics,Março,2023,96,12 anos,,Revistas Periódicas,"Ed McGuinness, Zeb Wells","Num marco histórico para o escalador de paredes, que marca a novecentésima edição americana de AMAZING SPIDER-MAN, a coisa vai ficar séria: quando alguém do passado do lançador de teias captura o Sexteto Sinistro e os utiliza para criar algo verdadeiramente apavorante, Peter Parker vai precisar usar tudo o que tem para impedir uma tragédia nas suas mãos! Uma das maiores aventuras na História-Aranha – e com um final surpreendente!",https://panini.com.br/catalog/product/view/id/162744/s/o-espetacular-homem-aranha-vol-4-48/category/23/
Demolidor Vol. 9,"R$39,90",Daredevil (2022) 1-5,Marvel Comics,Abril,2023,144,12 anos,,Livros e Edições Especiais,"Alex Maleev, Chip Zdarsky, Marco Checchetto, Rafael De Latorre","O fim que levaram os eventos do Reinado do Demônio transformou tudo para sempre – em meio a uma cidade se reconstruindo, um mundo que pensa que Matt Murdock está morto, e Elektra assumindo também o manto vermelho, o Demolidor está mais ambicioso que nunca. Juntos, Matt e Elektra querem derrubar de uma vez por todas a organização nefasta do Tentáculo, e, em sua missão, os dois se aproximam mais que nunca – mas nem todos concordam com sua visão de futuro, e, para além de seus inimigos entre os vilões, os dois podem acabar sentindo um atrito se formando entre eles e a comunidade heroica. O início de uma nova fase para o demônio da Cozinha do Inferno, em que o destino do mundo inteiro pode estar em jogo diante do amanhecer de uma nova era.",https://panini.com.br/demolidor-vol-9
Valquíria: Jane Foster Vol. 5,"R$31,90",Jane Foster & The Mighty Thor (2022) 1-5,Marvel Comics,Março,2023,112,12 anos,,Livros e Edições Especiais,"Michael Dowling, Torunn Grønbekk","Uma visita inesperada e turbulenta do martelo Mjolnir a seu apartamento faz com que Jane Foster tema pelo Deus dos Trovões, Thor. Conforme alguns dos mais temíveis inimigos de Asgard se juntam para planejar um ataque implacável ao Reino, a Valquíria vai precisar arriscar a vida mais uma vez para evitar uma tragédia – e isso pode demandar que ela assuma mantos que achava que tinha abandonado para sempre. Onde está Thor? Como salvá-lo? E como uma ameaça terrível e interdimensional e formas antigas e perigosas de magia estão envolvidas nisso tudo?",https://panini.com.br/valquiria-jane-foster-vol-5
A Saga Dos X-Men Vol. 10,"R$39,90","Nightcrawler (1985) 1-4, The Uncanny X-Men (1963) 199, Bizarre Adventures (1981) 27",Marvel Comics,Março,2023,144,12 anos,,Revistas Periódicas,"Chris Claremont, Dave Cockrum, John Romita Jr.","Kurt Wagner não é apenas o Noturno da equipe de super-heróis mutantes dos X-Men – um artista de circo no passado, Kurt ainda sonha com uma vida repleta de aventura e desbravamento. O que ele não sabe é que pode ser que ele consiga exatamente isso! Embarcando numa aventura em uma dimensão alienígena para salvar o dragão Lockheed, ele vai enfrentar de piratas a feiticeiros e encontrar as mais extraordinárias criaturas! Paralelamente, o clima na Mansão X é de tensão – pode ser que o professor Xavier esteja realmente morrendo? Ainda enfraquecido pelos últimos acontecimentos, ele está em seu limite – e Rachel Summers pode estar prestes a descobrir o verdadeiro potencial de seus poderes.",https://panini.com.br/a-saga-dos-x-men-vol-10
João Das Fábulas - Edição De Luxo Vol. 3,"R$175,90",Jack of Fables 36-50,DC Comics,Maio,2023,400,18 anos,Capa dura,Livros e Edições Especiais,"Bill Willingham, Chris Roberson, Jim Fern, Lilah Sturges, Russell Braun, Tony Akins",O terceiro e último volume de João das Fábulas! ,https://panini.com.br/joao-das-fabulas-edicao-de-luxo-vol-3
Batman: Um Dia Ruim Vol. 1 - Charada,"R$24,90",Batman: One Bad Day – The Riddler (2022) 1,DC Comics,Abril,2023,64,12 anos,,Livros e Edições Especiais,"Mitch Gerads, Tom King","Os maiores vilões do Cavaleiro das Trevas ganham novas e épicas histórias! Os vilões mais icônicos dos quadrinhos pelas mãos dos maiores talentos da atualidade. Neste volume: o Charada! Tom King e Mitch Gerads, a dupla vencedora do Prêmio Eisner por trás de Senhor Milagre e Estranhas Aventuras se reúne para mergulhar fundo na mente do inimigo mais intelectual do Batman! Nigma matou um homem em plena luz do dia aparentemente sem motivo, mas… sempre há um motivo, sempre há regras. Batman chegará ao limite tentando descobrir a verdadeira motivação do Charada neste emocionante thriller psicológico!",https://panini.com.br/batman-um-dia-ruim-vol-1-charada
Venom (2022) Vol. 3,"R$31,90","Venom 6-7, Carnage 2-3, Venom: Lethal Protector 2",Marvel Comics,Fevereiro,2023,112,12 anos,,Livros e Edições Especiais,"Bryan Hitch, David Michelinie, Francesco Manna, Ivan Fiorelli, Ram V","Eddie Brock pode ter tido seu corpo destruído, mas sua consciência sobreviveu e foi transportada até o fim dos tempos, para um misterioso jardim cheio de simbiontes onde o líder é Meridius. Todos no jardim – inclusive Eddie – são Reis de Preto. Enquanto Eddie tenta entender tudo o que está acontecendo, Meridius tem seus próprios planos nefastos: para Brock e seu filho, Dylan, e para todos os simbiontes – e esses planos já estão em movimento através do tempo... ",https://panini.com.br/venom-2022-vol-3
Coleção Clássica Marvel Vol. 47 - Thor 08,"R$36,90",The Mighty Thor 126-130,Marvel Comics,Fevereiro,2023,128,12 anos,,Revistas Periódicas,"Jack Kirby, Stan Lee, Vince Colletta","Thor e Hércules lutam pelo amor da mortal Jane Foster. Então, Odin, ainda furioso porque seu filho revelou sua identidade à bela mortal, remove metade de seus durante sua batalha contra o deus olimpiano e as consequências disso serão trágicas. O filho de Zeus, entretanto, torna-se vítima de uma armadilha de Plutão. Diante disso, o Deus do Trovão, parte para o reino subterrâneo para salvar o Príncipe do Poder, numa sequência verdadeiramente épica. Enquanto isso, Jane é enviada à uma longa jornada por Tana Nile, do planeta Rigel-3, e talvez nunca mais retorne à Terra...",https://panini.com.br/colecao-classica-marvel-vol-47-thor-08
Coleção Clássica Marvel Vol. 48 - Hulk 04,"R$34,90",Tales to Astonish 79-88,Marvel Comics,Fevereiro,2023,128,12 anos,,Revistas Periódicas,"Bill Everett, Gil Kane, Jack Kirby, John Buscema, John Tartaglione, Mike Esposito, Stan Lee","Após enfrentar o cientista Zaxon, nosso Golias Esmeralda foge para o deserto, mas é mais uma vez perseguido pelo Exército. Então, Hulk é capturado por Tyrannus, que precisa do ",https://panini.com.br/colecao-classica-marvel-vol-48-hulk-04
Aventuras Marvel 03,"R$9,90",Marvel Adventures Super-Heroes (2008) 8 (Captain America); Marvel Adventures Super-Heroes (2008) 11,Marvel Comics,Março,2023,48,14 anos,Canoa,Revistas Periódicas,"Craig Rousseau, Jon Buran, Louise Simonson, Scott Gray","Mais duas grandes aventuras completas com os maiores heróis da Casa das Ideias! Na década de 1940, o adolescente Steve Rogers se ofereceu para um experimento do governo que transformou seu corpo no auge da perfeição física: o Capitão América! O herói lutou bravamente na Segunda Guerra Mundial, mas depois desapareceu misteriosamente... apenas para ser encontrado décadas depois, ainda jovem e pronto para continuar sua luta por justiça! E leia também: Deuses do trovão! Deuses da trapaça! Deuses supremos! E mais monstros gigantes e nojentos, maiores que arranha-céus! Junte-se à lenda dos quadrinhos Louise Simonson enquanto ela apresenta um conto épico de Thor!",https://panini.com.br/aventuras-marvel-03
"Avante, Vingadores! (2022) Vol. 7","R$31,90","Avengers Forever (2021) 7, Hulk (2021) 8, Black Panther (2021) 6, Captain America Sentinel of Liberty (2022) 2, Captain America Symbol of Truth (2022) 2",Marvel Comics,Março,2023,112,12 anos,,Revistas Periódicas,"Aaron Kuder, Donny Cates, Jason Aaron, John Ridley, Martin Coccolo, Stefano Landini","Na eletrizante conclusão da batalha épica entre Thor e Hulk, virão à tona revelações sobre o passado do gigante verde diante das quais Thor pode vir a tomar decisões com consequências inimagináveis para o Universo Marvel! Paralelamente, Steve Rogers é um zé-ninguém de Nova York que acorda todos os dias na mesma cela de prisão sem saber o que está fazendo ali – e ele não é o único com esse nome por ali. Qual a explicação para essa estranha reunião de Rogers, e por que nenhum deles ouviu falar de um Soro de Super-Soldado? ",https://panini.com.br/avante-vingadores-2022-vol-7
Demolidor: Fim Dos Dias,"R$99,90",,Marvel Comics,Março,2023,208,12 anos,Capa dura,Livros e Edições Especiais,"Alex Maleev, Bill Sienkiewicz, Brian Michael Bendis, Klaus Janson","Brian Michael Bendis comanda uma equipe de lendas do Demolidor para contar a última história do Homem Sem Medo! Anos depois do mundo vê-lo pela última vez, o Demolidor finalmente voltou para a Cozinha do Inferno, apenas para ser brutalmente assassinado por seu maior inimigo em uma batalha deveras pública. Mas as enigmáticas derradeiras palavras de Matt levam o repórter do Clarim Diário Bem Urich a escrever uma última matéria: a verdade por trás do que aconteceu com seu velho amigo. Para onde Matt foi… e o que o trouxe de volta, apenas para morrer?",https://panini.com.br/demolidor-fim-dos-dias
Guardiões Da Galáxia: Contos Do Cosmo,"R$39,90","Guardians of Infinity (2015) 1-8, Thor (1966) 314",Marvel Comics,Março,2023,144,12 anos,,Livros e Edições Especiais,"Jason Latour, Jim Cheung, Leonardo Romero, Robbie Thompson","As aventuras dos Guardiões vão leva-los a todo tipo de lugar – em uma série de histórias curtas, os heróis intergalácticos vão passar por Nova York, um estranho planeta cuja cultura é baseada na luta livre profissional terráquea, um trabalho como seguranças particulares... O Coisa e Rocky Racum, Gamora e Kitty Pryde, o Tocha Humana e Venom! As duplas mais harmoniosas – ou não tanto assim – de personagens vão revelar um pouco do caótico, mas nunca entediante, cotidiano de um Guardião da Galáxia! Será que eles darão conta de tudo que o Cosmo vai jogar em seu caminho?",https://panini.com.br/guardioes-da-galaxia-contos-do-cosmo
Doutor Estranho & Doutor Destino: Triunfo E Tormento,"R$75,90","Doctor Strange: Triumph and Torment, Doctor Strange 57, Astonishing Tales 8, Marvel Fanfare 16   43",Marvel Comics,Março,2023,160,12 anos,Capa dura,Livros e Edições Especiais,"Bill Mantlo, Gene Colan, Gerry Conway, Kevin Nowlan, Mike Mignola, Roger Stern","Todos os anos, na véspera do solstício de verão, Victor von Doom, o déspota conhecido como Doutor Destino, enfrenta as forças do mal em uma vã tentativa de libertar a alma de sua mãe do inferno. Mas somente quando Stephen Strange, o Doutor Estranho, é finalmente convencido a se juntar à luta, Doom tem alguma esperança de alterar o resultado a seu favor. Os improváveis aliados devem fazer uma jornada até o reino abissal de Mefisto… onde descobrem que o preço de uma alma pode ser maior do que eles estão dispostos a pagar! Edição especial reapresentando aquela que é, talvez, a maior história do Doutor Destino já criada, acompanhada de extras inigualáveis, como um prólogo em que Victor von Doom considera se tornar um aprendiz do Doutor Estranho, além de raras histórias curtas desenhadas pelo lendário artista Mike Mignola, apresentando ",https://panini.com.br/doutor-estranho-doutor-destino-triunfo-e-tormento
Superman 15/73,"R$31,90","Action Comics (2016) 1045-1046, Superman: Son of Kal-El (2021) 15, Justice League Vs the Legion of Super-Heroes (2022) 3",DC Comics,Abril,2023,112,12 anos,,Revistas Periódicas,"Brian Michael Bendis, Cian Tormey, Phillip Kennedy Johnson, Scott Godlewski, Tom Taylor, Will Conrad","A empolgante conclusão da Saga se aproxima! A Revolução do Mundo Bélico se inflama à medida que Superman ganha vantagem, forçando Mongul a tomar medidas desesperadas. Enquanto isso, um falecido aliado do Homem de Aço é ressuscitado… a um custo terrível! E ainda: a batalha final entre Jon Kent contra Bendix e suas monstruosas maquinações começou!",https://panini.com.br/superman-15-73
Guardiões Da Galáxia: Vingadores Cósmicos (Marvel Essenciais),"R$74,90","Guardians of the Galaxy 0.1-3, Guardians of the Galaxy: Tomorrow’s Avengers 1",Marvel Comics,Março,2023,152,12 anos,Capa dura,Livros e Edições Especiais,"Brian Michael Bendis, Sara Pichelli, Steve McNiven","Uma nova regra surge na galáxia: ninguém pode tocar na Terra! Mas por que, de repente, o nosso mundo se tornou o planeta mais importante do universo? É isso que os Guardiões da Galáxia vão descobrir! Junte-se a Senhor das Estrelas, Gamora, Drax, Rocky Racum, Groot e o invencível Homem de Ferro enquanto eles embarcam em uma das mais explosivas e impressionantes narrativas da NOVA MARVEL! Os segredos que esses vingadores galácticos descobrirão vão abalar os leitores por muitos anos! E ao mesmo tempo que Londres se vê diante de uma brutal invasão dos alienígenas da raça badoon, o destino dos Guardiões pode já ter sido decidido a milhões de anos-luz de distância!",https://panini.com.br/guardioes-da-galaxia-vingadores-cosmicos-marvel-essenciais
Guardiões Da Galáxia Vol. 1 - Imperador Quill,"R$104,90",Guardians of the Galaxy (2015) 1-10,Marvel Comics,Março,2023,224,12 anos,Capa dura,Livros e Edições Especiais,"Brian Michael Bendis, Valerio Schiti","Peter Quill abandonou os Guardiões da Galáxia e seu posto como Senhor das Estrelas para se tornar Imperador de Spartax, assumindo novas responsabilidades – e Rocky nem esperou a poeira baixar para assumir o seu lugar no grupo! Passando por uma série de mudanças na sua formação, incluindo a integração de Ben Grimm, o Coisa, à equipe, os Guardiões enfrentarão desde uma perigosíssima nova ameaça à galáxia até os famigerados Skrulls, passando ainda por cima pelo retorno de rostos conhecidos e icônicos – como será que todos esses eventos e mudanças vão afetá-los? E, mais importante, será que os Guardiões sobreviverão a eles para contar a história?",https://panini.com.br/guardioes-da-galaxia-vol-1-imperador-quill
Ben Reilly: Homem-Aranha,"R$31,90",Ben Reilly: Spider-Man (2022) 1-5,Marvel Comics,Fevereiro,2023,112,12 anos,,Livros e Edições Especiais,,"Uma série de assassinatos violentos traz a escuridão às ruas da grande metrópole de Nova York – mas qual pode ser a conexão entre todos eles? E que respostas podem estar escondidas nos corredores assombrados do Instituto Ravencroft? Num retorno à era em que Bem Reilly carregava o manto do Homem-Aranha, o lançador de teias vai precisar enfrentar uma longa fila de seus mais temíveis inimigos – do Escorpião à Doutora Octopus. Mas a descoberta de quem realmente está por trás de tudo isso pode trazer à tona fracassos do passado... de Ben e de Peter!",https://panini.com.br/ben-reilly-homem-aranha
Aventuras Marvel 02,"R$9,90",Marvel Adventures Spider-Man (2005) 4 e Marvel Adventures Iron Man (2007) 1,Marvel Comics,Fevereiro,2023,48,10 anos,Canoa,Revistas Periódicas,"Fred Van Lente, James Cordeiro, Jeff Parker, Patrick Scherberger","Enquanto o Homem-Aranha tenta deter um vilão feito de concreto, Peter Parker continua nos contando sobre sua trajetória como o amigão da vizinhança! Enquanto isso, o Tocha Humana liberta acidentalmente o Alienígena, Goom… Quando toda a força de trabalho da Stark China simplesmente desaparece, o Homem de Ferro sai para investigar. Tony logo descobre que eles foram obrigados a construir o mais recente horror tecnológico do Mandarim: um navio dragão de 300 metros de comprimento que destrói tudo em seu caminho... incluindo o Vingador Blindado!",https://panini.com.br/aventuras-marvel-02
Batman/Superman: Os Melhores Do Mundo Vol. 5,"R$19,90","Batman/Superman: World’s Finest (2022) 5, Batman: Urban Legends (2021) 15 e 18",DC Comics,Abril,2023,48,12 anos,,Revistas Periódicas,"Dan Mora, Jason Howard, Mark Waid",O primeiro arco dos melhores do mundo conclui com um prenúncio chocante dos eventos do Universo DC que estão por vir! As maquinações sinistras do demônio Nezha têm atrapalhado o Homem de Aço e o Cavaleiro das Trevas há tempos… mas que segredos esse vilão guarda para o futuro do Universo DC? Várias pistas sobre a próxima grande série da DC neste capítulo final eletrizante!,https://panini.com.br/batman-superman-os-melhores-do-mundo-vol-5
Esquadrão Mata-Skrull (Marvel Vintage),"R$64,90","Skrull Kill Krew 1-5, Fantastic Four (1961) 2",Marvel Comics,Fevereiro,2023,128,12 anos,Capa dura,Livros e Edições Especiais,"Grant Morrison, Jack Kirby, Mark Millar, Stan Lee, Steve Yeowell","Os alienígenas metamorfos Skrull têm seus agentes infiltrados em todos os cantos do mundo, com o objetivo de dominar o planeta Terra – mas não se o Esquadrão Mata-Skrull puder impedir! Ryder, um membro do Esquadrão, reúne uma inesperada equipe de pessoas afetadas pelo vírus Skrull que lhes dá poderes extraordinários de transformação – além de uma fúria incontrolável, estranhas visões e memórias e uma expectativa de vida reduzida. Será que esse extraordinário grupo vai conseguir impedir os alienígenas antes que eles se infiltrem completamente em todos os cantos do planeta? E como estarão o Capitão América, Nick Fury e o Quarteto Fantástico envolvidos nessa história?",https://panini.com.br/esquadrao-mata-skrull-marvel-vintage
X-Men Vol. 55,"R$31,90","Secret X-Men (2022) 1, Immortal X-Men (2022) 1, X-Men Red 1",Marvel Comics,Fevereiro,2023,112,12 anos,,Revistas Periódicas,"Al Ewing, Francesco Mobili, Kieron Gillen, Lucas Werneck, Stefano Caselli, Tini Howard","As bases de Krakoa parecem ser testadas a cada momento, e parece cada vez mais difícil que aqueles no centro da nação mutante se mantenham unidos para enfrentar as ameaças externas com tantas instabilidades internas. Entre a adição de Sina às cadeiras do Conselho, o afastamento de membros centrais para a fundação de Krakoa e conflitos antigos e novos se fazendo presentes, fica cada vez mais claro que cada um ali tem seus próprios objetivos. E quais podem ser as consequências disso? Quais segredos podem ser revelados?",https://panini.com.br/x-men-vol-55
O Espetacular Homem-Aranha Vol. 3 / 47,"R$27,90","Amazing Spider-Man (2022) 4-5, Edge of Spider-Verse (2022) 3",Marvel Comics,Fevereiro,2023,80,12 anos,,Revistas Periódicas,"Dan Slott, John Romita Jr., Mark Bagley, Zeb Wells","Depois de cair numa armadilha do Lápide e ser sequestrado, Peter Parker vai precisar não apenas escapar para salvar a própria vida – mas também para impedir que um massacre sanguinário assole as ruas de Nova York. A gangue do vilão, sob suas ordens, está preparada para abrir fogo e assassinar inocentes a torto e a direto para incriminar o Rosa em meio à perigosa guerra que está se delineando. Será que, mesmo com seus poderes de aranha, o lançador de teias vai ser capaz de enfrentar tantos inimigos ao mesmo tempo? ",https://panini.com.br/o-espetacular-homem-aranha-vol-3-47
Justiceiro (2022) 01,"R$39,90","Punisher (2022) 1-3, Punisher War Journal: Blitz (2022)",Marvel Comics,Fevereiro,2023,144,12 anos,,Livros e Edições Especiais,"Jason Aaron, Jesus Saiz, Lan Medina, Paul Azaceta, Torunn Grønbekk","Nascido da tragédia, devotado à guerra e absolutamente implacável em sua fúria. Como o Justiceiro, Frank Castle se tornou o maior assassino que o mundo já viu. Que segredo de seu passado pode convencê-lo a tomar as rédeas de um dos maiores clãs de assassinos do universo Marvel? E o que será do manto do Justiceiro quando Castle assumir esse novo papel? Conduzindo seu próprio exército de ninjas altamente letais à guerra, ele terá de encarar tanto seu violento e obscuro passado quanto seu cada vez mais inevitável futuro.",https://panini.com.br/justiceiro-2022-01
Planeta Hulk (Marvel Essenciais),"R$169,90",The Incredible Hulk (2000) 92-105   Giant-Size Hulk (2006) 1   Amazing Fantasy (2004) 15,Marvel Comics,Fevereiro,2023,376,12 anos,Não disponível,Livros e Edições Especiais,"Aaron Lopresti, Carlo Pagulayan, Greg Pak","Traído pelos heróis da Terra e exilado nos confins do espaço, o Hulk aterrissou no remoto planeta Sakaar, governado pelo tirânico Rei Vermelho. Forçado a lutar em uma arena, o Gigante de Jade logo dará início a uma revolução junto a seus companheiros gladiadores que mudará para sempre tanto a sua existência quanto a de todos os habitantes do planeta. No entanto, a tragédia espreita em cada canto...",https://panini.com.br/planeta-hulk-marvel-essenciais
Os Vingadores Vol. 48,"R$31,90","Avengers (2018) 56, Thor (2020) 25-26, Iron Man (2020) 21, Avengers 1,000,000 BC",Marvel Comics,Fevereiro,2023,112,12 anos,,Revistas Periódicas,"Ángel Unzueta, Christopher Cantwell, Donny Cates, Jason Aaron, Javier Garron, Martin Coccolo","Diante da ameaça de Mefisto e seu Conselho Vermelho, os Vingadores estão aceitando toda a ajuda que puderem ter – e assim Jane Foster, a Valquíria, se junta aos heróis mais poderosos da Terra. Ou seria Jane Foster, a Thor, Deusa do Trovão e guardiã do Mjolnir? Ou ainda Jane Foster, esposa de Thor e uma pacata dona de casa? Esse pequeno universo de possibilidades talvez acabe por se encarar frente a frente... ",https://panini.com.br/os-vingadores-vol-48
Selvagem Homem-Aranha,"R$59,90",Savage Spider-Man (2022) 1-5,Marvel Comics,Fevereiro,2023,112,12 anos,Capa dura,Livros e Edições Especiais,"Gerardo Sandoval, Joe Kelly, Mike Bowden","Peter Parker foi injetado com um soro que reverteu sua inteligência a um estado selvagem e interagiu com sua biologia provocando novas mutações – e transformando-o num novo tipo de Homem-Aranha nunca antes visto. Abandonado numa ilha com o Barão Zemo, o vilão da Hidra não é a única pessoa com quem Parker precisa se preocupar: o grupo dos Immaculatum, que professa um mundo racialmente puro e segregado, tem planos para livrar o planeta dos males da sociedade humana submetendo todos aqueles que forem “geneticamente impuros” a uma nova versão do mesmo soro que transformou o lançador de teias. Será o Homem-Aranha capaz de detê-los? Ou ainda – será que ainda existe no Homem-Aranha Selvagem o herói que teria essa intenção?",https://panini.com.br/selvagem-homem-aranha
O Espetacular Homem-Aranha Por David Michelinie E Erik Larsen (Omnibus),"R$364,90","Amazing Spider-Man (1963) 287, 324, 327, 329-350, Spider-Man (1990) 15, 18-23, Amazing Spider-Man (1999) 19-21, Marvel Comics Presents (1988) 48-50",Marvel Comics,Abril,2023,888,12 anos,Capa dura com sobrecapa,Omnibus & Edições de luxo,"David Michelinie, Erik Larsen",Este belíssimo volume traz todas as histórias do Homem-Aranha com a arte cheia de ação de ,https://panini.com.br/o-espetacular-homem-aranha-por-david-michelinie-e-erik-larsen-omnibus
